,Core_Only,Alpha_Always_Only,Core90_Alpha10,Core85_Alpha15,Core80_Alpha20,Core90_AlphaRegime10,Core85_AlphaRegime15,SPY,QQQ,VT,TOPIX
2022-10-12,-0.08622558297170302,-0.0069250722392458774,-0.03341120099159178,-0.006277246456170449,0.0,-0.04375587351217547,-0.022170545052115576,-0.18064763157617125,-0.018372242045962217,-0.10636679970867591,-0.04781494431836186
2022-10-13,-0.0727958698700899,-0.008294799156263966,-0.02075918857705039,0.0,0.0,-0.031133751906666896,-0.00999554729026797,-0.20031033522405595,-0.017290555740687386,-0.09105760406523689,-0.054011421717018115
2022-10-14,-0.07234570315581013,-0.0011994876344033623,-0.01963068733833606,0.0,0.0,-0.030571759100471496,-0.00937449463806761,-0.20196418543380235,-0.019797490334184542,-0.0905444367139372,-0.046916651776069074
2022-10-17,-0.06883703051641987,0.0,-0.016029556625118513,0.0,0.0,-0.027219565159987025,-0.006109680950198815,-0.2011471084055746,-0.02210026091276196,-0.08654472685574544,-0.04513940284379414
2022-10-18,-0.08454072484213426,0.0,-0.03039612698906946,-0.01346861576618863,-0.012336619836485485,-0.041872203632426386,-0.020184811335994035,-0.2103669281483992,-0.03369886194597216,-0.10444614641237382,-0.0533642719648425
2022-10-19,-0.08311419189900393,0.0,-0.028143091154205546,-0.010798702430825369,-0.009285666081835453,-0.04035195391844548,-0.018616228506806998,-0.20681104454370003,-0.009921507327734114,-0.10281997080065719,-0.043505607365012744
2022-10-20,-0.077550806790325,0.0,-0.02199328511228249,-0.004410450014371237,-0.0027587527012554736,-0.03494498953311309,-0.013299452471452256,-0.19899433823939705,-0.004919489773977603,-0.09647799235151755,-0.025085465354176884
2022-10-21,-0.08004382824598089,-0.0005344439173666782,-0.02442440873512064,-0.006777350719437969,-0.005021470839736808,-0.037302656459106465,-0.015581940253395432,-0.19434044423098673,-0.012492501958697999,-0.09931991108195881,-0.01410905416936592
2022-10-24,-0.0943321820728018,0.0,-0.03780877618090128,-0.01950391573718624,-0.01686903325935274,-0.05070977086173001,-0.0285015821752288,-0.17664899175177962,-0.021345830129262833,-0.11560791384883917,-0.040755678398124884
2022-10-25,-0.0792580753030403,-0.0002794940254514655,-0.023422265107882034,-0.005673393935513582,-0.0038332546284233215,-0.03649492747780214,-0.014765394829362788,-0.18061644830873425,-0.020221675697697505,-0.09842419235439781,-0.03774290152962334
2022-10-26,-0.07519607316711352,0.0,-0.01911460120468944,-0.0012877796713302025,0.0,-0.03258445308896496,-0.010940657292144218,-0.17539440300612064,-0.04498765323380871,-0.09379371477587806,-0.03910066093308351
2022-10-27,-0.05840889175925634,0.0,-0.002888409497580402,0.0,0.0,-0.016740094176529663,0.0,-0.17036343112425822,-0.032449003411774036,-0.07465717458843923,-0.062018011056014566
2022-10-28,-0.05094240332795408,0.0,0.0,0.0,0.0,-0.009692749577343673,0.0,-0.17239967194539785,-0.03800242868843351,-0.06614575432953984,-0.07616288750259026
2022-10-31,-0.03717067089471715,-0.0021255794236489933,0.0,0.0,0.0,0.0,0.0,-0.16075629955527504,-0.03310737674396347,-0.05044667389689861,-0.06699126738203465
2022-11-01,-0.02525203033094181,0.0,0.0,0.0,0.0,0.0,0.0,-0.15753680999015462,-0.02764144406558111,-0.03686002473960959,-0.06463895039547174
2022-11-02,-0.03190298978048933,0.0,-0.006056187915166489,-0.005672651555732711,-0.0052891151962990435,-0.0061239852395379435,-0.005774347542289782,-0.16928445181001506,-0.015909158345300378,-0.04444178308837665,-0.06346187745850174
2022-11-03,-0.03679878687898974,-0.0007118451217813515,-0.010650798394716943,-0.010053002953561485,-0.009455040854747021,-0.010661683455359228,-0.010069322772904066,-0.16145807234388065,-0.009668517295134071,-0.05002274487396541,-0.0704699705853451
2022-11-04,-0.04086436707378327,0.0,-0.01367453087013104,-0.012502106420638648,-0.011328819424214154,-0.014273073030958261,-0.013400449231596001,-0.16615953536798278,-0.0003873847251009144,-0.054657301259143476,-0.0580459146943747
2022-11-07,-0.050220499364421745,-0.001234591813717767,-0.02245552801735229,-0.020872859237713648,-0.019288335930605527,-0.022951383882624854,-0.021617421311943774,-0.1690753772988869,0.0,-0.06532282021844837,-0.07157564947678752
2022-11-08,-0.0324586026517617,0.0,-0.005580804745569101,-0.004675157986896883,-0.003769904365220289,-0.006422413066258015,-0.005938517125735343,-0.1712448175002449,-0.003546653561951607,-0.045075153740747664,-0.08114918758613676
2022-11-09,-0.03182403267249301,-0.0021424588888294682,-0.005206876766398194,-0.004440151187281138,-0.003674072211659052,-0.005878505623496899,-0.005448240315468977,-0.1635905290124442,0.0,-0.044351775967256146,-0.08438067867768018
2022-11-10,-0.026977892006013415,0.0,-0.00024720973632896825,0.0,0.0,-0.001304515231620229,-0.0010733667012661208,-0.15237686438561038,0.0,-0.03882742000987871,-0.10073131665419732
