,Baseline,Residual_20,Residual_30,VCP_10,VCP_20,Residual_20_VCP_10,Residual_30_VCP_10,Residual_20_VCP_20
2019-12-31,0.03198734139795234,0.030215469307081966,0.030215469307081966,0.03198734139795234,0.03198734139795234,0.030215469307081966,0.030215469307081966,0.030215469307081966
2020-01-31,0.03034792471512704,0.03034792471512704,0.033355818442609486,0.03034792471512704,0.03034792471512704,0.033355818442609486,0.033355818442609486,0.033355818442609486
2020-02-29,-0.004070876254587019,-0.004070876254587019,-0.0104088265756338,-0.004070876254587019,-0.004070876254587019,-0.0104088265756338,-0.0104088265756338,-0.0104088265756338
2020-03-31,0.011851096485282486,0.011851096485282486,0.009723206991565592,0.011851096485282486,0.011851096485282486,0.009723206991565592,0.009723206991565592,0.009723206991565592
2020-04-30,0.026983987384372687,0.026983987384372687,0.02698398738437313,0.026983987384372687,0.026983987384372687,0.02698398738437313,0.02698398738437313,0.02698398738437313
2020-05-31,-0.0020265964485594035,-0.0020265964485594035,-0.0020265964485594035,-0.0020265964485594035,-0.0020265964485594035,-0.0020265964485594035,-0.0020265964485594035,-0.0020265964485594035
2020-06-30,0.004394123769969616,0.004394123769969616,0.004394123769969616,0.004394123769969616,0.004394123769969616,0.004394123769969616,0.004394123769969616,0.004394123769969616
2020-07-31,-0.00017398299199922196,-0.00017398299199922196,-0.00017398299199922196,-0.00017398299199922196,-0.00017398299199922196,-0.00017398299199922196,-0.00017398299199922196,-0.00017398299199922196
2020-08-31,0.009490958344285483,0.009490958344285483,0.009490958344285483,0.009490958344285483,0.009490958344285483,0.009490958344285483,0.009490958344285483,0.009490958344285483
2020-09-30,-0.004138110664548833,-0.004138110664548833,-0.004138110664548833,-0.004138110664548833,-0.004138110664548833,-0.004138110664548833,-0.004138110664548833,-0.004138110664548833
2020-10-31,0.0032987278426659383,0.0032987278426659383,0.0032987278426659383,0.0032987278426659383,0.0032987278426659383,0.0032987278426659383,0.0032987278426659383,0.0032987278426659383
2020-11-30,0.011374788757698262,0.011374788757698262,0.011374788757698262,0.011374788757698262,0.011374788757698262,0.011374788757698262,0.011374788757698262,0.011374788757698262
2020-12-31,0.012250065422618084,0.012250065422618084,0.012250065422618084,0.012250065422618084,0.012250065422618084,0.012250065422618084,0.012250065422618084,0.012250065422618084
2021-01-31,0.006486078002263529,0.006486078002263529,0.006486078002263529,0.006486078002263529,0.006486078002263529,0.006486078002263529,0.006486078002263529,0.006486078002263529
2021-02-28,0.020479287901358667,0.020479287901358667,0.020479287901358667,0.020479287901358667,0.020479287901358667,0.020479287901358667,0.020479287901358667,0.020479287901358667
2021-03-31,0.005383611975441571,0.005383611975441571,0.005383611975441571,0.005383611975441571,0.005383611975441571,0.005383611975441571,0.005383611975441571,0.005383611975441571
2021-04-30,-0.0034637618550558136,-0.003536516895498165,-0.003536516895498165,-0.0034637618550558136,-0.0034637618550558136,-0.003536516895498165,-0.003536516895498165,-0.003536516895498165
2021-05-31,0.020331163209061254,0.022815120323063987,0.022815120323063987,0.020331163209061254,0.020331163209061254,0.022815120323063987,0.022815120323063987,0.022815120323063987
2021-06-30,0.040828427850978954,0.031532481605742735,0.031532481605742735,0.040828427850978954,0.040828427850978954,0.031532481605742735,0.031532481605742735,0.031532481605742735
2021-07-31,-0.038636050159624014,-0.038636050159624014,-0.038636050159624014,-0.038636050159624014,-0.038636050159624014,-0.038636050159624014,-0.038636050159624014,-0.038636050159624014
2021-08-31,-0.0021307852399178318,-0.0021307852399178318,-0.0021307852399178318,-0.0021307852399178318,-0.0021307852399178318,-0.0021307852399178318,-0.0021307852399178318,-0.0021307852399178318
2021-09-30,0.009024701743964414,0.009024701743964414,0.009024701743964414,0.009024701743964414,0.009024701743964414,0.009024701743964414,0.009024701743964414,0.009024701743964414
2021-10-31,-0.004696650596784813,-0.004696650596784813,-0.004696650596784813,-0.004696650596784813,-0.004696650596784813,-0.004696650596784813,0.007090951141258683,-0.004696650596784813
2021-11-30,0.03815651922035923,0.03815651922035923,0.03815651922035923,0.03815651922035923,0.03815651922035923,0.03815651922035923,0.03824153893897164,0.03815651922035923
2021-12-31,0.011205200109311475,0.011205200109311475,0.011205200109311475,0.011205200109311475,0.011205200109311475,0.011205200109311475,0.0016327340790613931,0.011205200109311475
2022-01-31,0.019138091186633677,0.019138091186633677,0.019138091186633677,0.019138091186633677,0.019138091186633677,0.019138091186633677,0.019138091186633677,0.019138091186633677
