variant,average_number_of_holdings,average_max_single_name_weight,max_observed_single_name_weight,average_portfolio_herfindahl_index,average_top_3_weight,highest_concentration_date
Residual_60_N30,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_60_N4,4.0,0.2627510615435658,0.2716728387329231,0.25031183197382034,0.7596705602449045,2019-03-29 00:00:00
Residual_60_N40,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_60_N6,6.0,0.17535999386119933,0.18199138879136162,0.16683732178040828,0.5118381188938341,2019-03-29 00:00:00
Residual_60_N8,8.0,0.13180574735787756,0.13826863068784787,0.12514842864492642,0.3874942740928018,2019-03-29 00:00:00
Residual_65_N10,10.0,0.10617264558685341,0.11145746645361672,0.10014705908434443,0.31257274820245534,2019-03-29 00:00:00
Residual_65_N12,12.0,0.08870455306439198,0.09299480359901702,0.08346246797043555,0.26168403671534013,2019-03-29 00:00:00
Residual_65_N16,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_65_N20,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_65_N24,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_65_N30,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_65_N4,4.0,0.2627510615435658,0.2716728387329231,0.25031183197382034,0.7596705602449045,2019-03-29 00:00:00
Residual_65_N40,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_65_N6,6.0,0.17571448746861226,0.18199138879136162,0.1668473087360679,0.5123636300504472,2019-03-29 00:00:00
Residual_65_N8,8.0,0.13180574735787756,0.13826863068784787,0.12514842864492642,0.3874942740928018,2019-03-29 00:00:00
Residual_70_N10,10.0,0.10616274447410284,0.11145746645361672,0.10014327710280514,0.31254496751760513,2019-03-29 00:00:00
Residual_70_N12,12.0,0.0887447002304255,0.09299480359901702,0.08346004244054153,0.26153881061782247,2019-03-29 00:00:00
Residual_70_N16,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_70_N20,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_70_N24,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_70_N30,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_70_N4,4.0,0.2625331902345126,0.2716728387329231,0.250315989701901,0.7598751226785385,2019-03-29 00:00:00
Residual_70_N40,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_70_N6,6.0,0.17581721771330916,0.18199138879136162,0.16684509845893186,0.5120810903279416,2019-03-29 00:00:00
Residual_70_N8,8.0,0.13216977824315326,0.13826863068784787,0.12516566552155745,0.3879895715933493,2019-03-29 00:00:00
